,title,originallink,link,description,pubDate
8,"[사진]페이커(이상혁),'<b>대상혁</b> 쉿 동상'",http://www.osen.co.kr/article/G1112351898,https://m.sports.naver.com/esports/article/109/0005092613,6일 오후 서울 중구 신라호텔 영빈관에서 페이커(이상혁)의 전설의 전당(Hall of Legends) 미디어데이 행사가 열렸다. 전설의 전당은 다른 스포츠에서 운영되고 있는 명예의 전당을 리그 오브 레전드만의 방식으로... ,"Fri, 07 Jun 2024 09:09:00 +0900"
9,‘셀프 숭배’하는 ‘페이커’…“저도 ‘<b>대상혁</b>’ 예배드려야죠” [쿠키인터...,http://www.kukinews.com/newsView/kuk202406070003,http://www.kukinews.com/newsView/kuk202406070003,"거기서 팬들이 ‘<b>대상혁</b>’ 예배하더라. 나도 ‘<b>대상혁</b>님’ 예배드리고 오겠다. 힘든 순간들도 많았는데, 어떤 마음가짐으로 지금까지 선수 생활을 하고 있는지? 프로 생활하면서 굴곡이 많았고, 지금도 항상 있다. 그걸... ","Fri, 07 Jun 2024 09:04:00 +0900"
0,"모든 길은 결국 저를 통합니다, '페이커' 이상혁 전설의 전당 헌액식",http://www.gamechosun.co.kr/webzine/article/view.php?no=205871,http://www.gamechosun.co.kr/webzine/article/view.php?no=205871,"<b>대상혁</b> 예배를 하시던데 저도 예배드리고 오겠다. Q. 페이커 선수에게 많은 선수가 영감을 얻는 이유가 굴곡이 있기 때문이다. 어떻게 극복하는가? 이상혁: 지금도 굴곡이 있다. 그런 것들을 이겨내면서 성장했고, 다른... ","Fri, 07 Jun 2024 09:02:00 +0900"
1,"[현장] 페이커 질의응답, &quot;새 시즌은 새로운 각오로 나서겠다&quot;",http://www.gamevu.co.kr/news/articleView.html?idxno=33318,http://www.gamevu.co.kr/news/articleView.html?idxno=33318,"많은 분들이 <b>대상혁</b> 예배 장소가 있다 해서 나도 한번 해보려고 한다. Q : '리그오브레전드'로부터 삶을 배웠다고 했는데 부연설명이 있다면 페이커 : 아마 시절, 많은 분들 앞에서 이렇게 이야기 할 수 있을 것이라 꿈도 못... ","Fri, 07 Jun 2024 09:02:00 +0900"
2,"[종합] 페이커, 살아있는 전설",http://www.inven.co.kr/webzine/news/?news=296311&iskin=esports,https://m.sports.naver.com/esports/article/442/0000172907,"많은 분이 '<b>대상혁</b> 예배'를 한다고 하는데... 헌액에 팀원 반응이 궁금하다. = 프로게이머들이 표현에 서툴다. 직접 표현하지 않아도, 아까 무대에서 선수들 얼굴이 굉장히 뿌듯해 보였다. 거기서 축하받았다고 생각한다.... ","Fri, 07 Jun 2024 09:01:00 +0900"
3,페이커 &quot;돈·명예는 한시적…좋은 영향력 끼치는 사람 되겠다&quot;,https://www.yna.co.kr/view/AKR20240606071300017?input=1195m,https://n.news.naver.com/mnews/article/001/0014733157?sid=105,"페이커는 &quot;신전이라는 단어가 부담스럽긴 하지만 어쨌든 가볼 생각&quot;이라며 &quot;많은 분이 거기서 '<b>대상혁</b>(大 + 이상혁) 예배'를 하시던데, 저도 예배 한 번 드리고 오겠다&quot;고 말해 좌중에 웃음을 자아냈다.","Fri, 07 Jun 2024 09:01:00 +0900"
4,페이커 이상혁 &quot;돈·명예 한시적…선한 영향력 고민하고 실천하겠다&quot;,https://www.news1.kr/articles/5439636,https://m.sports.naver.com/esports/article/421/0007586985,"그는 &quot;신전이라는 단어가 개인적으로 부담스럽지만 어쨌든 한번 가볼 생각&quot;이라며 &quot;많은 분이 '<b>대상혁</b>'이라고 예배하던데, 저도 '<b>대상혁</b>'님에게 예배를 한번 드리고 올 것&quot;이라고 말했다. 페이커는 &quot;전설의 전당은 과거의... ","Fri, 07 Jun 2024 09:00:00 +0900"
5,"&quot;롤 통해 많은 것 배워&quot;, &quot;가장 큰 동기부여는 팬&quot;...'전설의 전당'에서 쏟아...",https://www.newsquest.co.kr/news/articleView.html?idxno=224909,https://www.newsquest.co.kr/news/articleView.html?idxno=224909,"많은 분들이 <b>대상혁</b> 예배를 한다고 들었다. 그래서 저도 <b>대상혁</b>한테 예배도 한번 드려볼까 한다. Q. 성공과 함께 부진, 부상도 있었다. &quot;포기할까 이어갈까&quot;하는 갈림길에서 지금과 같은 결정을 내리게 된 계기가 궁금하다.... ","Fri, 07 Jun 2024 09:00:00 +0900"
6,페이커 '아라치 치킨' TV CF 화제…팬들 &quot;LOL 볼 때 무조건이야&quot; 환호,https://www.newsis.com/view/?id=NISX20240521_0002741966&cID=13001&pID=13000,https://n.news.naver.com/mnews/article/003/0012581132?sid=101,실제 팬들은 유튜브 댓글 등을 통해 &quot;이제부터 롤(LOL·리그오브레전드) 게임 볼 때는 아라치로!&quot; &quot;<b>대상혁</b>(페이커의 별명) 치킨 바로 주문&quot; 등의 뜨거운 반응을 보이고 있다. 유튜브에 올라간 30초 짜리 아라치 TV CF... ,"Fri, 31 May 2024 23:27:00 +0900"
7,&quot;배달하다가 페이커 만난 썰 푼다&quot;...페이커 목격담에 너도나도 '기습숭배',https://www.insight.co.kr/news/470047,https://www.insight.co.kr/news/470047,지난 29일 동일 커뮤니티에는 배달하다가 페이커를 우연히 만났다는 한 누리꾼이 &quot;외쳐 <b>대상혁</b>!&quot;이라며... 또 <b>대상혁</b>이다&quot; 등의 반응을 보이며 작성자를 부러워했다. 한편 30일 라이엇게임즈는 다음 달 16일까지 서울 중구... ,"Thu, 30 May 2024 17:26:00 +0900"
